epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9246.69,1.16304,1.38301,1.22833,0.59532,0.45831,0.49443,0.35157,1.13414,1.22506,1.17339,0.000643101,0.000643101,0.000643101
43,10397.1,1.16047,1.38048,1.22614,0.59573,0.45804,0.49461,0.35203,1.1336,1.22424,1.1726,0.000628101,0.000628101,0.000628101
44,11547.1,1.16025,1.37749,1.22702,0.59197,0.46096,0.49503,0.3526,1.13359,1.22348,1.17249,0.000612981,0.000612981,0.000612981
45,12698.5,1.1575,1.37207,1.22522,0.59643,0.46179,0.49553,0.35266,1.13321,1.22298,1.17199,0.000597754,0.000597754,0.000597754
46,13849.3,1.15682,1.3689,1.22537,0.597,0.4633,0.4963,0.35331,1.13275,1.22217,1.1717,0.000582435,0.000582435,0.000582435
47,14999.3,1.15615,1.36788,1.2237,0.59533,0.46302,0.49649,0.35375,1.13208,1.22147,1.17095,0.00056704,0.00056704,0.00056704
48,16149.6,1.15603,1.36328,1.22222,0.59826,0.46175,0.49691,0.35417,1.13225,1.22044,1.17064,0.000551584,0.000551584,0.000551584
49,17299.5,1.15343,1.36036,1.22094,0.59876,0.46088,0.49739,0.3545,1.13203,1.21899,1.1701,0.000536081,0.000536081,0.000536081
50,18451.1,1.15183,1.35533,1.22054,0.59715,0.4625,0.49736,0.35453,1.13162,1.21786,1.1698,0.000520548,0.000520548,0.000520548
51,19602.4,1.15058,1.3511,1.21853,0.59402,0.46495,0.49787,0.35505,1.13115,1.21676,1.16931,0.000505,0.000505,0.000505
52,20753.3,1.14895,1.3515,1.21856,0.59827,0.46271,0.49833,0.35498,1.13066,1.21548,1.16893,0.000489452,0.000489452,0.000489452
53,21904.2,1.14815,1.3494,1.2182,0.59757,0.46416,0.49845,0.35479,1.13062,1.21487,1.16882,0.000473919,0.000473919,0.000473919
54,23055.8,1.14749,1.34389,1.2169,0.59426,0.46674,0.49868,0.35521,1.13018,1.214,1.16834,0.000458416,0.000458416,0.000458416
55,1176.8,1.13687,1.3263,1.21234,0.59478,0.46737,0.49889,0.35531,1.12988,1.21398,1.16831,0.00044296,0.00044296,0.00044296
56,2354.4,1.13893,1.32927,1.21322,0.59405,0.4675,0.49958,0.3552,1.12968,1.21348,1.16814,0.000427565,0.000427565,0.000427565
57,3568.18,1.13877,1.32587,1.21173,0.59915,0.46349,0.49989,0.35549,1.12965,1.21249,1.1678,0.000412246,0.000412246,0.000412246
58,4749.2,1.14038,1.32707,1.21308,0.59789,0.46393,0.50029,0.35565,1.12994,1.21203,1.16799,0.000397019,0.000397019,0.000397019
59,5921.78,1.13699,1.32208,1.21069,0.5985,0.46422,0.50044,0.3558,1.13014,1.21176,1.16787,0.000381899,0.000381899,0.000381899
60,7093.36,inf,1.31837,1.21015,0.60151,0.46281,0.50028,0.35547,1.13098,1.21188,1.16854,0.000366899,0.000366899,0.000366899
61,8266.13,1.13487,1.31908,1.21088,0.59954,0.46454,0.50041,0.35576,1.13063,1.21128,1.16833,0.000352037,0.000352037,0.000352037
62,9524.35,1.1353,1.31766,1.21064,0.5983,0.46397,0.50012,0.35567,1.13096,1.21146,1.1685,0.000337325,0.000337325,0.000337325
63,1171.72,1.11985,1.29004,1.20216,0.59673,0.46596,0.50021,0.35571,1.13162,1.21109,1.16897,0.000322778,0.000322778,0.000322778
64,2335.21,1.12295,1.29554,1.20365,0.59937,0.46596,0.5003,0.35564,1.13162,1.21114,1.16897,0.000308412,0.000308412,0.000308412
65,3505.92,1.1246,1.29566,1.20337,0.59772,0.46643,0.50003,0.3553,1.13181,1.21121,1.1689,0.000294239,0.000294239,0.000294239
66,4675.86,1.12767,1.29963,1.20582,0.59705,0.46724,0.49997,0.35553,1.13233,1.21179,1.1691,0.000280275,0.000280275,0.000280275
67,5840.65,1.12534,1.29778,1.20409,0.59814,0.46679,0.49981,0.35514,1.13279,1.21236,1.16948,0.000266532,0.000266532,0.000266532
68,7002.27,1.12514,1.2972,1.20427,0.59893,0.4662,0.49945,0.35506,1.13291,1.21247,1.16963,0.000253024,0.000253024,0.000253024
69,8166.53,1.12683,1.30118,1.20544,0.60032,0.46423,0.49921,0.355,1.13288,1.21261,1.1695,0.000239766,0.000239766,0.000239766
70,9326.3,1.12882,1.3023,1.20656,0.59919,0.46565,0.49906,0.35494,1.13262,1.21308,1.16951,0.000226769,0.000226769,0.000226769
71,10486.7,1.12735,1.30123,1.20482,0.59574,0.46731,0.49904,0.35485,1.13236,1.21295,1.16922,0.000214046,0.000214046,0.000214046
